#Digilent WaveForms Oscilloscope Acquisition,,,,,,,,
#Device Name: Discovery2,,,,,,,,
#Serial Number: SN:210321AE0290,,,,,,,,
#Date Time: 2024-09-22 20:45:31.093,,,,,,,,
#Sample rate: 800000Hz,,,,,,,,
#Samples: 8192,,,,,,,,
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s,,,,,,,,
#Channel 1: Range: 500 mV/div Offset: 0 V Sample Mode: Average,,,,,,,,
#Channel 2: Range: 500 mV/div Offset: 0 V Sample Mode: Average,,,,,,,,
#Wavegen Channel 1: Running,,,,,,,,
#Mode: Custom,,,,,,,,
#Type: Custom1,,,,,,,,
#Frequency: 200 Hz,,,,,,,,
#Period: 5 ms,,,,,,,,
#Amplitude: 1 V,,,,,,,,
#Offset: 0 V,,,,,,,,
#Phase: 0 °,,,,,,,,
,,,,,,,,
Time (s),Channel 1 (V),Channel 2 (V),,,,,Average Noise%Err,
-0.004832083,0.1924651402214342,0.002424576,,0.209447904,8.108347599,,,
-0.004830833,0.1938105018820641,0.003094442,,0.210983601,8.139542177,,,
-0.004829583,0.1961648847881635,0.003094442,,0.212518777,7.695269404,,,
-0.004828333,0.1971739060336358,0.002424576,,0.214053429,7.885658762,,,
-0.004827083,0.198519268,0.003094442,,0.215587553,7.917101307,,,
-0.004825833,0.1998646293548929,0.002759509,,0.217121144,7.947873998,,,
-0.004824583,0.2012099910155211,0.002759509,,0.2186542,7.977989562,,,
-0.004823333,0.203228034,0.002759509,,0.220186717,7.701955636,,,
-0.004822083,0.2042370547519362,0.003094442,,0.22171869,7.884601505,,,
-0.004820833,0.2059187568277227,0.003429376,,0.223250116,7.763202767,,,
-0.004819583,0.2076004589035093,0.003094442,,0.224780991,7.643231868,,,
-0.004818333,0.2086094801489804,0.002759509,,0.226311312,7.821894359,,,
-0.004817083,0.2099548418096093,0.002424576,,0.227841074,7.850310736,,,
-0.004815833,0.2116365438853954,0.003094442,,0.229370274,7.731485843,,,
-0.004814583,0.2129819055460242,0.002759509,,0.230898908,7.759674071,,,
-0.004813333,0.2139909267914954,0.00175471,,0.232426973,7.931973489,,,
